2026-08-07 07:28:40,454 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Order book snapshot applied for KXBTC15M-26AUG071030-30 (seq=1, yes_levels=101, no_levels=0)
2026-08-07 07:28:40,457 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Subscribed to orderbook_delta (sid=1)
2026-08-07 07:28:40,460 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Order book snapshot applied for KXETH15M-26AUG071030-30 (seq=1, yes_levels=101, no_levels=0)
2026-08-07 07:28:45,499 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:28:45,598 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:28:50,962 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXBTC15M&status=settled&limit=20 "HTTP/1.1 200 OK"
2026-08-07 07:28:54,728 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/markets?active=true&closed=false&tag=crypto "HTTP/1.1 200 OK"
2026-08-07 07:28:54,736 | INFO     | arbitr8der_package.data_sources.polymarket_sentiment_analysis_poller | Found 0 BTC markets on Polymarket
2026-08-07 07:28:55,938 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:28:56,010 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 134 outcomes from candles for BTC
2026-08-07 07:28:56,039 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:28:56,201 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXETH15M&status=settled&limit=20 "HTTP/1.1 200 OK"
2026-08-07 07:28:54,479 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
2026-08-07 07:28:57,476 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/markets?active=true&closed=false&tag=crypto "HTTP/1.1 200 OK"
2026-08-07 07:28:57,483 | INFO     | arbitr8der_package.data_sources.polymarket_sentiment_analysis_poller | Found 0 BTC markets on Polymarket
2026-08-07 07:28:58,979 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXBTC15M&status=closed&limit=20 "HTTP/1.1 200 OK"
2026-08-07 07:29:04,282 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXETH15M&status=closed&limit=20 "HTTP/1.1 200 OK"
2026-08-07 07:29:07,194 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:07,433 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:10,293 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 134 outcomes from candles for BTC
2026-08-07 07:29:11,206 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
2026-08-07 07:29:17,770 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:17,866 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:24,415 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 134 outcomes from candles for BTC
2026-08-07 07:29:25,051 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
2026-08-07 07:29:25,780 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:26,005 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:30,206 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/markets?active=true&closed=false&tag=crypto "HTTP/1.1 200 OK"
2026-08-07 07:29:30,212 | INFO     | arbitr8der_package.data_sources.polymarket_sentiment_analysis_poller | Found 0 BTC markets on Polymarket
2026-08-07 07:29:31,283 | INFO     | httpx | HTTP Request: GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=5 "HTTP/1.1 451 "
2026-08-07 07:29:35,344 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?limit=100&status=open&series_ticker=KXBTC15M "HTTP/1.1 200 OK"
2026-08-07 07:29:35,391 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/markets?active=true&closed=false&tag=crypto "HTTP/1.1 200 OK"
2026-08-07 07:29:35,397 | INFO     | arbitr8der_package.data_sources.polymarket_sentiment_analysis_poller | Found 0 BTC markets on Polymarket
2026-08-07 07:29:35,439 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?limit=100&status=open&series_ticker=KXETH15M "HTTP/1.1 200 OK"
2026-08-07 07:29:35,445 | INFO     | arbitr8der_package.data_sources.kalshi_rest_market_discovery_client | Discovered 2 active BTC/ETH 15m markets
2026-08-07 07:29:35,448 | INFO     | arbitr8der_package.data_sources.ingestion_orchestrator | Discovered 2 active Kalshi markets
2026-08-07 07:29:35,598 | INFO     | httpx | HTTP Request: GET https://api.coingecko.com/api/v3/simple/price?ids=bitcoin%2Cethereum&vs_currencies=usd&include_market_cap=true&include_24hr_vol=true&include_24hr_change=true&include_last_updated_at=true "HTTP/1.1 200 OK"
2026-08-07 07:29:36,270 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:36,499 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:36,695 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/klines?symbol=BTCUSDT&interval=1m&limit=5 "HTTP/1.1 200 OK"
2026-08-07 07:29:40,742 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 134 outcomes from candles for BTC
2026-08-07 07:29:41,388 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
2026-08-07 07:29:41,871 | INFO     | httpx | HTTP Request: GET https://api.exchange.coinbase.com/products/BTC-USD/candles?granularity=60&limit=5 "HTTP/1.1 200 OK"
2026-08-07 07:29:46,853 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:46,946 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:29:47,102 | INFO     | httpx | HTTP Request: GET https://api.binance.com/api/v3/klines?symbol=ETHUSDT&interval=1m&limit=5 "HTTP/1.1 451 "
2026-08-07 07:29:51,954 | INFO     | arbitr8der_package.data_sources.binance_spot_price_stream | Attempting Binance WS reconnect from REST fallback...
2026-08-07 07:29:52,313 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/klines?symbol=ETHUSDT&interval=1m&limit=5 "HTTP/1.1 200 OK"
2026-08-07 07:29:54,571 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 134 outcomes from candles for BTC
2026-08-07 07:29:54,993 | INFO     | httpx | HTTP Request: GET https://api.exchange.coinbase.com/products/ETH-USD/candles?granularity=60&limit=5 "HTTP/1.1 200 OK"
2026-08-07 07:29:55,269 | INFO     | arbitr8der_package.prediction.auto_scoring_engine | Recorded 133 outcomes from candles for ETH
2026-08-07 07:30:00,461 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-08-07 07:30:00,559 | INFO     | httpx | HTTP Request: GET https://api.binance.us/api/v3/ticker/price?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-08-07 07:30:01,020 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Order book snapshot applied for KXETH15M-26AUG071030-30 (seq=1043, yes_levels=0, no_levels=0)
2026-08-07 07:30:01,028 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Order book snapshot applied for KXBTC15M-26AUG071030-30 (seq=2133, yes_levels=0, no_levels=0)
2026-08-07 07:30:04,560 | INFO     | httpx | HTTP Request: GET https://api.elections.kalshi.com/trade-api/v2/markets?series_ticker=KXBTC15M&status=settled&limit=20 "HTTP/1.1 200 OK"
2026-08-07 07:30:07,569 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Order book snapshot applied for KXBTC15M-26AUG071030-30 (seq=2134, yes_levels=0, no_levels=0)
2026-08-07 07:30:07,573 | INFO     | arbitr8der_package.data_sources.kalshi_orderbook_websocket_client | Order book snapshot applied for KXETH15M-26AUG071030-30 (seq=1044, yes_levels=0, no_levels=0)
2026-08-07 07:30:08,118 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/markets?active=true&closed=false&tag=crypto "HTTP/1.1 200 OK"
2026-08-07 07:30:08,132 | INFO     | arbitr8der_package.data_sources.polymarket_sentiment_analysis_poller | Found 0 BTC markets on Polymarket
